category,name,version,score,tiebreak
women,Jana Koss,rx,156,12:00
men,Sebastian Stryj,rx,142,12:00
men,Alex Högerl,rx,210,7:06
women,Greta Corazza,sc,10:41,
men,Tobias Schurig,sc,156,10:36
men,Philipp Hoffmann,rx,90,12:00
women,Paula Weber,rx,156,12:00
men,Johannes Wudy,rx,157,11:08
men,Jonathan Maczan,rx,161,9:23
men,Michael Jaeger,sc,194,07:49
women,Kerstin Drescher,sc,11:20,
women,Jelena Anja Jaeger,sc,156,11:14
men,Christian Orr,sc,11:01,
men,Christian Ott,sc,11:46,
men,Florian Weis,sc,11:02,
men,Jesse Krallmann,sc,206,12:00
men,Pascal Reimann,rx,149,6:30
men,Thomas Staudigl,rx,171,08:11
men,Paul Emmerich,rx,164,09:40
men,Peter Clausen,sc,208,7:36
women,Julia Kopp,sc,166,4:11
men,Neven Perusic,sc,204,12:00
women,Jenny Wussler,rx,156,9:44
men,Sandro Beer,rx,159,10:23
men,Fabian Bank,rx,148,04:35
men,Fabian Bank,rx,148,04:35
men,Fabian Bank,rx,148,04:35
men,Sandeep Mann,sc,11:50,
men,Jan-Sebastian Schneider,rx,167,6:34
men,Nico Loichinger,rx,10:00,
men,Marc Baumeister,rx,202,8:00
women,Verena Demler,rx,156,11:50
women,Yvonne David,rx,183,6:49
men,Enrico Klein,rx,214,6:27
men,Simeon Block,sc,171,12:00
men,Daniel Trenz,rx,213,6:40
men,Oliver Gronwald,rx,211,7:47
women,Franziska Kogler,rx,162,8:31
men,Johannes Früh,rx,204,12:00
women,Harriet Wagner,sc,84,5:22
women,Katrin Giglhuber,rx,84,7:43
women,Lisa Günther,sc,211,7:00
men,Vincent Eichner,rx,11:57,
men,Abiral Kakshapati,rx,169,8:47
women,Alexandra Gantner,rx,160,8:16
men,Johannes Aumann,rx,11:59,
men,Fabio Aleo Horcas,rx,11:46,
men,Boris Dragandzhikov,rx,11:24,
